127.0.0.1 - - [10/Dec/2016:10:39:01 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:39:03 -0800] "GET /TESCWeather/ HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:39:18 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:40:56 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:42:10 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44398
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:42:57 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44395
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:43:37 -0800] "GET /TESCWeather/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:43:43 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44395
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:43:49 -0800] "GET /TESCWeather/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:44:03 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44395
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:53:09 -0800] "GET /TESCWeather/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:53:12 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:53:24 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2011-09-09 HTTP/1.1" 200 9373
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:56:24 -0800] "GET /TESCWeather/WeatherReading?id=30407 HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:56:28 -0800] "GET /TESCWeather/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:56:30 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:56:35 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2011-09-09 HTTP/1.1" 200 9373
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:57:11 -0800] "GET /TESCWeather/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:57:53 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44395
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:59:05 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:59:07 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44395
0:0:0:0:0:0:0:1 - - [10/Dec/2016:10:59:59 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44395
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:01:29 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:01:31 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:01:31 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:01:31 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:06:12 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:06:14 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:06:16 -0800] "GET /TESCWeather/WeatherReadings/Measure/Rain HTTP/1.1" 200 12590
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:13:01 -0800] "GET /TESCWeather/WeatherReadings/Missing/Detail HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:13:15 -0800] "GET /TESCWeather/WeatherReadings/Missing/Detail HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:13:16 -0800] "GET /TESCWeather/WeatherReadings/Missing/Detail HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:13:18 -0800] "GET /TESCWeather/WeatherReadings/Measure/Rain HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:13:30 -0800] "GET /TESCWeather/WeatherReadings/Missing/Detail?date= HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:13:44 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:13:46 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:14:09 -0800] "GET /TESCWeather/WeatherReadings/Missing/Detail?date='2008-03-20' HTTP/1.1" 404 1078
